Artist,Title,ArtistGenre,CoverType,Year,spotify,bandcamp,soundcloud,youtube
Dreadful Shadows,1959,Unspecified,Metal,2021,1,0,0,1
Mac,1959,Unspecified,Straight,2020,0,0,0,1
Mad Shad,1959,Unspecified,Acoustic,2011,0,0,0,1
madsmith,1959,Unspecified,Alternative,2016,0,0,0,1
Maryann Giselle Alienfairy,1959,Unspecified,Straight,2020,0,0,0,1
Rhee Diculous,1959,Unspecified,Straight,2018,0,0,0,1
Richie Santoro,1959,Unspecified,Straight,2019,0,0,0,1
Tony Santucci,1959,Unspecified,Straight,2017,0,0,0,1
Wojtek Tokarz,1959,Unspecified,Alternative,2017,0,0,0,1
Botchandango,1959,Goth,Straight,2012,0,0,1,0
Marek Krukowski,1959,Unspecified,Alternative,2014,0,0,1,0
metallordgeneral,1959,Unspecified,Straight,2020,0,0,1,0
Mj Moonbow Aka Tinman,1959,Ambient,Electronic,2018,0,0,1,0
Nmacog,1959,Goth,Straight,2012,0,0,1,0
The Court Of Sybaris,A Rock And A Hard Place,Unspecified,Straight,2014,1,1,1,1
Cursed Moon,A Rock And A Hard Place,Metal,Straight,2017,0,0,0,1
Temple of Mercy,A Rock And A Hard Place,Unspecified,Straight,2020,0,0,0,1
The Sisters of Murphy,A Rock And A Hard Place,Goth,Straight,2015,0,0,0,1
Some Happy Medium,A Rock And A Hard Place,Goth,Straight,2020,0,1,0,0
Lymon Willis,Adrenochrome,Unspecified,Acoustic,2016,0,0,0,1
Brad Salyn,Adrenochrome,Unspecified,Straight,2019,0,0,1,0
Julius Seizure,Adrenochrome,Post Punk,Straight,2021,0,0,1,0
Nmacog,Adrenochrome,Goth,Straight,2016,0,0,1,0
Razielpanic,Adrenochrome,Goth,Straight,2013,0,0,1,0
Baby Shitters,Adrenochrome,Punk,Straight,2020,0,1,0,0
Ego Likeness,Afterhours,Unspecified,Electronic,2014,0,0,0,1
Eleven Shadows,Afterhours,Darkwave,Straight,2013,0,0,0,1
Shadowplay,Afterhours,Unspecified,Straight,2010,0,0,0,1
Supersuckers,Afterhours,Unspecified,Straight,2014,0,0,0,1
The Hall Of Souls,Afterhours,Goth,Metal,2014,0,0,0,1
Puppetxeno,Afterhours,Alternative,Acoustic,2020,0,0,1,0
Barafoetida,Alice,Goth,Electronic,2019,0,1,1,1
Obscura Nova,Alice,Electronic,Electronic,2015,0,1,1,1
Johnnie Ha Ha,Alice,Unspecified,Straight,2020,0,0,1,1
Pitch Fork,Alice,Unspecified,Straight,2016,0,0,1,1
Sonikelectrik,Alice,Rock,Straight,2022,0,0,1,1
T.N.V ( The Negative Visions ),Alice,Unspecified,Straight,2015,0,0,1,1
Ultrawest,Alice,Unspecified,Straight,2016,0,0,1,1
Urban Citizen,Alice,Electronic,Electronic,2018,0,0,1,1
Daeonia,Alice,Goth,Straight,2013,1,1,0,1
Aïboforcen,Alice,EBM,Electronic,1995,0,1,0,1
The Prophetess,Alice,Unspecified,Straight,2007,1,0,0,1
The Shroud,Alice,Unspecified,Acoustic,2007,1,0,0,1
80 Trolls,Alice,Unspecified,Straight,2016,0,0,0,1
Astraea Invade,Alice,Goth,Straight,2013,0,0,0,1
Axxon,Alice,Industrial,Industrial,2008,0,0,0,1
Cairns Chaos,Alice,Unspecified,Acoustic,2021,0,0,0,1
Cellulloide,Alice,Electronic,Electronic,2013,0,0,0,1
Clan Of Xymox,Alice,Unspecified,Straight,2012,0,0,0,1
Culpa,Alice,Unspecified,Metal,2018,0,0,0,1
Das Holz,Alice,Unspecified,Metal,2009,0,0,0,1
Dawn,Alice,Unspecified,Straight,2006,0,0,0,1
Dead Sea Surfers,Alice,Unspecified,Straight,2009,0,0,0,1
Deviate Ladies,Alice,Unspecified,Straight,1993,0,0,0,1
Double Deck Cwb,Alice,Unspecified,Straight,2019,0,0,0,1
Ghost Weller,Alice,Unspecified,Straight,2010,0,0,0,1
Giants Causeway,Alice,Unspecified,Straight,1998,0,0,0,1
Gravitational Pull,Alice,Unspecified,Straight,2021,0,0,0,1
Grey Gallows,Alice,Darkwave,Straight,2018,0,0,0,1
I.R.L.,Alice,Unspecified,Straight,2017,0,0,0,1
In Isolation,Alice,Unspecified,Straight,2018,0,0,0,1
Inovercy,Alice,Unspecified,Straight,2018,0,0,0,1
Interior Deus,Alice,Goth,Straight,2014,0,0,0,1
